The data is already continuous,,,,
,,,,
Year,Month,Total Precip (mm),,yrs no break
1977,12,72.4,,36.33
1978,1,103.9,,36.42
1978,2,7.7,,36.50
1978,3,103.7,,36.58
1978,4,65.7,,36.67
1978,5,43,,36.75
1978,6,89,,36.83
1978,7,50.5,,36.92
1978,8,96.9,,37.00
1978,9,37.1,,37.08
1978,10,88,,37.17
1978,11,75.7,,37.25
1978,12,76.7,,37.33
1979,1,113.1,,37.42
1979,2,19,,37.50
1979,3,56.4,,37.58
1979,4,116.1,,37.67
1979,5,87,,37.75
1979,6,32.5,,37.83
1979,7,38.4,,37.92
1979,8,99.2,,38.00
1979,9,130.7,,38.08
1979,10,95.4,,38.17
1979,11,71.1,,38.25
1979,12,64.3,,38.33
1980,1,29,,38.42
1980,2,15.3,,38.50
1980,3,61.4,,38.58
1980,4,104.7,,38.67
1980,5,46.5,,38.75
1980,6,44.2,,38.83
1980,7,182.6,,38.92
1980,8,66.4,,39.00
1980,9,139.6,,39.08
1980,10,67.9,,39.17
1980,11,79.4,,39.25
1980,12,75.1,,39.33
1981,1,18.5,,39.42
1981,2,111.3,,39.50
1981,3,34.6,,39.58
1981,4,70.2,,39.67
1981,5,88.6,,39.75
1981,6,107,,39.83
1981,7,85.4,,39.92
1981,8,144.2,,40.00
1981,9,77.3,,40.08
1981,10,103.2,,40.17
1981,11,86.4,,40.25
1981,12,56.2,,40.33
1982,1,66.6,,40.42
1982,2,32.7,,40.50
1982,3,92,,40.58
1982,4,40.7,,40.67
1982,5,15.2,,40.75
1982,6,78.8,,40.83
1982,7,63.4,,40.92
1982,8,169.6,,41.00
1982,9,94.2,,41.08
1982,10,26.5,,41.17
1982,11,101.5,,41.25
1982,12,69.6,,41.33
1983,1,57.8,,41.42
1983,2,70.5,,41.50
1983,3,58.9,,41.58
1983,4,150,,41.67
1983,5,137.1,,41.75
1983,6,39.6,,41.83
1983,7,67.4,,41.92
1983,8,32.8,,42.00
1983,9,76.9,,42.08
1983,10,85.3,,42.17
1983,11,189.7,,42.25
1983,12,157.4,,42.33
1984,1,27.4,,42.42
1984,2,65.2,,42.50
1984,3,34.5,,42.58
1984,4,76.2,,42.67
1984,5,118.1,,42.75
1984,6,100.2,,42.83
1984,7,60.1,,42.92
1984,8,112.4,,43.00
1984,9,28.8,,43.08
1984,10,49,,43.17
1984,11,87.8,,43.25
1984,12,101.2,,43.33
1985,1,61.3,,43.42
1985,2,64.5,,43.50
1985,3,109.9,,43.58
1985,4,64.1,,43.67
1985,5,41.6,,43.75
1985,6,95.2,,43.83
1985,7,67.2,,43.92
1985,8,78.3,,44.00
1985,9,71.1,,44.08
1985,10,84.8,,44.17
1985,11,74.8,,44.25
1985,12,58.2,,44.33
1986,1,105.7,,44.42
1986,2,39,,44.50
1986,3,60.6,,44.58
1986,4,49.4,,44.67
1986,5,82.4,,44.75
1986,6,115.8,,44.83
1986,7,93.6,,44.92
1986,8,131.6,,45.00
1986,9,117.4,,45.08
1986,10,57,,45.17
1986,11,72.4,,45.25
1986,12,109,,45.33
1987,1,60.7,,45.42
1987,2,33.2,,45.50
1987,3,66.2,,45.58
1987,4,36.8,,45.67
1987,5,55,,45.75
1987,6,129,,45.83
1987,7,131,,45.92
1987,8,54.6,,46.00
1987,9,108.2,,46.08
1987,10,56.9,,46.17
1987,11,115.9,,46.25
1987,12,53.4,,46.33
1988,1,26.4,,46.42
1988,2,74.6,,46.50
1988,3,26.4,,46.58
1988,4,78.8,,46.67
1988,5,50.2,,46.75
1988,6,72,,46.83
1988,7,31.2,,46.92
1988,8,159,,47.00
1988,9,41.8,,47.08
1988,10,87.8,,47.17
1988,11,117.8,,47.25
1988,12,37.2,,47.33
1989,1,66,,47.42
1989,2,30.6,,47.50
1989,3,75.2,,47.58
1989,4,52,,47.67
1989,5,83.2,,47.75
1989,6,84.6,,47.83
1989,7,30,,47.92
1989,8,119.2,,48.00
1989,9,57.4,,48.08
1989,10,125,,48.17
1989,11,175.8,,48.25
1989,12,43.2,,48.33
1990,1,81,,48.42
1990,2,86.6,,48.50
1990,3,46.4,,48.58
1990,4,100.1,,48.67
1990,5,79.2,,48.75
1990,6,68.8,,48.83
1990,7,132.4,,48.92
1990,8,84.4,,49.00
1990,9,79.2,,49.08
1990,10,118.8,,49.17
1990,11,86.9,,49.25
1990,12,147.8,,49.33
1991,1,75.6,,49.42
1991,2,50,,49.50
1991,3,94.7,,49.58
1991,4,122.4,,49.67
1991,5,91.2,,49.75
1991,6,34.8,,49.83
1991,7,85.4,,49.92
1991,8,111.6,,50.00
1991,9,69.8,,50.08
1991,10,70.7,,50.17
1991,11,31.5,,50.25
1991,12,75.7,,50.33
1992,1,92.5,,50.42
1992,2,91,,50.50
1992,3,73.3,,50.58
1992,4,41.2,,50.67
1992,5,56.4,,50.75
1992,6,76.4,,50.83
1992,7,137.2,,50.92
1992,8,70,,51.00
1992,9,108.2,,51.08
1992,10,79,,51.17
1992,11,100.2,,51.25
1992,12,25.8,,51.33
1993,1,118.6,,51.42
1993,2,65.4,,51.50
1993,3,70,,51.58
1993,4,151,,51.67
1993,5,86.7,,51.75
1993,6,93.4,,51.83
1993,7,90.2,,51.92
1993,8,43.6,,52.00
1993,9,122.6,,52.08
1993,10,123.2,,52.17
1993,11,98.2,,52.25
1993,12,65.8,,52.33
1994,1,88.8,,52.42
1994,2,65.4,,52.50
1994,3,64.4,,52.58
1994,4,98.6,,52.67
1994,5,100.4,,52.75
1994,6,143.8,,52.83
1994,7,50.6,,52.92
1994,8,84.6,,53.00
1994,9,67.2,,53.08
1994,10,19.8,,53.17
1994,11,40.2,,53.25
1994,12,53.6,,53.33
1995,1,114.1,,53.42
1995,2,57.2,,53.50
1995,3,45.8,,53.58
1995,4,70.2,,53.67
1995,5,81.5,,53.75
1995,6,56.6,,53.83
1995,7,122.1,,53.92
1995,8,127.4,,54.00
1995,9,59.6,,54.08
1995,10,182.7,,54.17
1995,11,136.7,,54.25
1995,12,68.2,,54.33
1996,1,70.4,,54.42
1996,2,72.2,,54.50
1996,3,17.9,,54.58
1996,4,177.8,,54.67
1996,5,92,,54.75
1996,6,65.5,,54.83
1996,7,106,,54.92
1996,8,22.5,,55.00
1996,9,115.1,,55.08
1996,10,74.5,,55.17
1996,11,163.8,,55.25
1996,12,89.4,,55.33
1997,1,120,,55.42
1997,2,93.8,,55.50
1997,3,100.3,,55.58
1997,4,96.9,,55.67
1997,5,76,,55.75
1997,6,104.5,,55.83
1997,7,135,,55.92
1997,8,106.4,,56.00
1997,9,91.5,,56.08
1997,10,49.3,,56.17
1997,11,90,,56.25
1997,12,56.6,,56.33
1998,1,152.5,,56.42
1998,2,63.8,,56.50
1998,3,128.5,,56.58
1998,4,35,,56.67
1998,5,50.5,,56.75
1998,6,74.5,,56.83
1998,7,89.5,,56.92
1998,8,92.5,,57.00
1998,9,62,,57.08
1998,10,62.5,,57.17
1998,11,35.7,,57.25
1998,12,55,,57.33
1999,1,148.1,,57.42
1999,2,44.3,,57.50
1999,3,84.1,,57.58
1999,4,19.5,,57.67
1999,5,44.2,,57.75
1999,6,88.5,,57.83
1999,7,74,,57.92
1999,8,67,,58.00
1999,9,194.5,,58.08
1999,10,88,,58.17
1999,11,57,,58.25
1999,12,73.3,,58.33
2000,1,95.8,,58.42
2000,2,73,,58.50
2000,3,69.8,,58.58
2000,4,112,,58.67
2000,5,132.5,,58.75
2000,6,77.5,,58.83
2000,7,47.5,,58.92
2000,8,102.5,,59.00
2000,9,65.5,,59.08
2000,10,24.7,,59.17
2000,11,63.6,,59.25
2000,12,121.4,,59.33
2001,1,48.4,,59.42
2001,2,74.2,,59.50
2001,3,109.8,,59.58
2001,4,13.7,,59.67
2001,5,70,,59.75
2001,6,76,,59.83
2001,7,33,,59.92
2001,8,62.5,,60.00
2001,9,67,,60.08
2001,10,77.5,,60.17
2001,11,83.3,,60.25
2001,12,53.5,,60.33
2002,1,36.9,,60.42
2002,2,41.2,,60.50
2002,3,80.4,,60.58
2002,4,79.9,,60.67
2002,5,127.5,,60.75
2002,6,106,,60.83
2002,7,55,,60.92
2002,8,11,,61.00
2002,9,64.5,,61.08
2002,10,70,,61.17
2002,11,105.6,,61.25
2002,12,33.7,,61.33
2003,1,22.6,,61.42
2003,2,62.8,,61.50
2003,3,88.3,,61.58
2003,4,76.9,,61.67
2003,5,110.5,,61.75
2003,6,70,,61.83
2003,7,54,,61.92
2003,8,79,,62.00
2003,9,104,,62.08
2003,10,156.4,,62.17
2003,11,133.8,,62.25
2003,12,163.6,,62.33
2004,1,34.2,,62.42
2004,2,39.6,,62.50
2004,3,59.2,,62.58
2004,4,68.8,,62.67
2004,5,81.8,,62.75
2004,6,64,,62.83
2004,7,139.4,,62.92
2004,8,90,,63.00
2004,9,71.8,,63.08
2004,10,36,,63.17
2004,11,87,,63.25
2004,12,127.6,,63.33
2005,1,63.6,,63.42
2005,2,43.6,,63.50
2005,3,44,,63.58
2005,4,158.8,,63.67
2005,5,43,,63.75
2005,6,129,,63.83
2005,7,125.6,,63.92
2005,8,134,,64.00
2005,9,113,,64.08
2005,10,198.2,,64.17
2005,11,96.2,,64.25
2005,12,82.7,,64.33
2006,1,147.8,,64.42
2006,2,64.5,,64.50
2006,3,29.4,,64.58
2006,4,114,,64.67
2006,5,173.4,,64.75
2006,6,104.2,,64.83
2006,7,135.2,,64.92
2006,8,154.4,,65.00
2006,9,65.4,,65.08
2006,10,179.4,,65.17
2006,11,71.4,,65.25
2006,12,104,,65.33
2007,1,79.8,,65.42
2007,2,27.6,,65.50
2007,3,75.8,,65.58
2007,4,139.6,,65.67
2007,5,63.2,,65.75
2007,6,60.4,,65.83
2007,7,106,,65.92
2007,8,80.4,,66.00
2007,9,47.8,,66.08
2007,10,113.6,,66.17
2007,11,85.6,,66.25
2007,12,119.8,,66.33
2008,1,98.8,,66.42
2008,2,107.2,,66.50
2008,3,121.6,,66.58
2008,4,74.8,,66.67
2008,5,74,,66.75
2008,6,60.6,,66.83
2008,7,118.8,,66.92
2008,8,77.6,,67.00
2008,9,49.4,,67.08
2008,10,105,,67.17
2008,11,72.4,,67.25
2008,12,151.4,,67.33
2009,1,67.6,,67.42
2009,2,85,,67.50
2009,3,47.6,,67.58
2009,4,76,,67.67
2009,5,93.2,,67.75
2009,6,74.6,,67.83
2009,7,116.6,,67.92
2009,8,81,,68.00
2009,9,44.8,,68.08
2009,10,112.6,,68.17
2009,11,55.4,,68.25
2009,12,120.2,,68.33
2010,1,68.6,,68.42
2010,2,49,,68.50
2010,3,62.8,,68.58
2010,4,89.4,,68.67
2010,5,38,,68.75
2010,6,158,,68.83
2010,7,96.6,,68.92
2010,8,139.2,,69.00
2010,9,157.2,,69.08
2010,10,117.2,,69.17
2010,11,96.2,,69.25
2010,12,121.8,,69.33
2011,1,31.4,,69.42
2011,2,89,,69.50
2011,3,128,,69.58
2011,4,134.4,,69.67
2011,5,144.8,,69.75
2011,6,93.8,,69.83
2011,7,59.2,,69.92
2011,8,224.8,,70.00
2011,9,110.4,,70.08
2011,10,96.4,,70.17
2011,11,53.4,,70.25
2011,12,115.2,,70.33
2012,1,84.2,,70.42
2012,2,33.4,,70.50
2012,3,57.8,,70.58
2012,4,67,,70.67
2012,5,91.8,,70.75
2012,6,73.6,,70.83
2012,7,94.2,,70.92
2012,8,48.2,,71.00
2012,9,103,,71.08
2012,10,95.8,,71.17
2012,11,13.6,,71.25
2012,12,164.8,,71.33
2013,1,64.8,,71.42
2013,2,62.4,,71.50
